"Group Name","Patch Name","Files Changed","Upstream","Tracked-On"
"Google Patches","0099-usb-otg-Temporarily-grab-wakelock-on-charger-and-dis.patch",1,"Yes",""
"Google Patches","0100-usb-otg-otg-wakelock-fix-build-for-3.3.patch",1,"Yes",""
"Google Patches","0101-usb-gadget-Add-Android-Composite-Gadget-driver.patch",3,"Yes",""
"Google Patches","0102-usb-gadget-mtp-Add-MTP-PTP-function.patch",3,"Yes",""
"Google Patches","0103-usb-gadget-adb-Add-ADB-function.patch",2,"Yes",""
"Google Patches","0104-usb-gadget-accessory-Add-Android-Accessory-function.patch",3,"Yes",""
"Google Patches","0105-usb-gadget-adb-allow-freezing-in-adb_read.patch",1,"Yes",""
"Google Patches","0106-usb-gadget-adb-do-not-set-error-flag-when-dequeuing-.patch",1,"Yes",""
"Google Patches","0107-ARM-fiq_debugger-fix-compiling-for-v3.3.patch",1,"Yes",""
"Google Patches","0108-ARM-fiq_debugger-add-support-for-reboot-commands.patch",1,"Yes",""
"Google Patches","0109-ARM-fiq_debugger-add-debug_putc.patch",1,"Yes",""
"Google Patches","0110-ARM-fiq_debugger-add-support-for-kgdb.patch",1,"Yes",""
"Google Patches","0111-kdb-support-new-lines-without-carriage-returns.patch",1,"Yes",""
"Google Patches","0112-ARM-fiq_debugger-fix-multiple-consoles-and-make-it-a.patch",1,"Yes",""
"Google Patches","0113-usb-gadget-adb-Only-enable-the-gadget-when-adbd-is-r.patch",2,"Yes",""
"Google Patches","0114-ARM-etm-Wait-for-etm-ptm-s-to-stop-before-requesting.patch",1,"Yes",""
"Google Patches","0115-ARM-etm-Check-arch-version-and-disable-data-tracing-.patch",2,"Yes",""
"Google Patches","0116-ARM-etm-Add-sysfs-entry-to-enable-timestamps-if-supp.patch",2,"Yes",""
"Google Patches","0117-ARM-etm-Add-sysfs-entry-to-set-context-id-size.patch",2,"Yes",""
"Google Patches","0118-ARM-etm-Add-sysfs-entry-to-disable-branch_output-fla.patch",2,"Yes",""
"Google Patches","0119-ARM-etm-Add-sysfs-entry-to-enable-return-stack-if-su.patch",2,"Yes",""
"Google Patches","0120-netfilter-qtaguid-initialize-a-local-var-to-keep-com.patch",1,"Yes",""
"Google Patches","0121-netfilter-xt_qtaguid-fix-ipv6-protocol-lookup.patch",1,"Yes",""
"Google Patches","0122-cpufreq-interactive-governor-event-tracing.patch",2,"Yes",""
"Google Patches","0123-cpufreq-interactive-apply-intermediate-load-to-max-s.patch",1,"Yes",""
"Google Patches","0124-cpufreq-interactive-set-at-least-hispeed-when-above-.patch",1,"Yes",""
"Google Patches","0125-cpufreq-interactive-don-t-drop-speed-if-recently-at-.patch",1,"Yes",""
"Google Patches","0126-cpufreq-interactive-configurable-delay-before-raisin.patch",1,"Yes",""
"Google Patches","0127-cpufreq-interactive-adjust-code-and-documentation-to.patch",2,"Yes",""
"Google Patches","0128-cpufreq-interactive-base-hispeed-bump-on-target-freq.patch",1,"Yes",""
"Google Patches","0129-cpufreq-interactive-Separate-speed-target-revalidate.patch",1,"Yes",""
"Google Patches","0130-cpufreq-interactive-Boost-frequency-on-touchscreen-i.patch",3,"Yes",""
"Google Patches","0131-cpufreq-interactive-remove-unused-target_validate_ti.patch",1,"Yes",""
"Google Patches","0132-cpufreq-interactive-Add-sysfs-boost-interface-for-hi.patch",3,"Yes",""
"Google Patches","0133-cpufreq-interactive-set-floor-for-boosted-speed.patch",1,"Yes",""
"Google Patches","0134-cpufreq-interactive-add-boost-pulse-interface.patch",3,"Yes",""
"Google Patches","0135-cpufreq-interactive-Compile-fixup.patch",1,"Yes",""
"Google Patches","0136-security-Add-proper-checks-for-Android-specific-capa.patch",1,"Yes",""
"Google Patches","0137-Include-if_pppolac.h-and-if_pppopns.h-into-header-y-.patch",1,"Yes",""
"Google Patches","0138-netfilter-xt_IDLETIMER-Add-new-netlink-msg-type.patch",2,"Yes",""
"Google Patches","0139-netfilter-xt_qtaguid-start-tracking-iface-rx-tx-at-l.patch",3,"Yes",""
"Google Patches","0140-trace-power-add-trace_clock_set_parent.patch",1,"Yes",""
"Google Patches","0141-usb-otg-otg-wakelock-Fix-build-for-3.4.patch",1,"Yes",""
"Google Patches","0142-debug-add-parameters-to-prevent-entering-debug-mode-.patch",1,"Yes",""
"Google Patches","0143-usb-gadget-composite-Fix-corruption-when-changing-co.patch",1,"Yes",""
"Google Patches","0144-cpufreq-interactive-restart-above_hispeed_delay-at-e.patch",1,"Yes",""
"Google Patches","0145-cpufreq-interactive-fixup-trace-of-string-params.patch",1,"Yes",""
"Google Patches","0146-usb-gadget-android-Fix-product-name.patch",1,"Yes",""
"Google Patches","0147-PM-Suspend-Print-wall-time-at-suspend-entry-and-exit.patch",1,"Yes",""
"Google Patches","0148-usb-gadget-android-Add-FunctionFS.patch",1,"Yes",""
"Google Patches","0149-gpio_input-convert-from-wakelocks-to-wakeup-sources.patch",1,"Yes",""
"Google Patches","0150-usb-gadget-accessory-Fix-section-mismatch.patch",1,"Yes",""
"Google Patches","0151-power_supply-Add-custom-property-for-USB-High-Curren.patch",2,"Yes",""
"Google Patches","0152-power-power_supply-move-POWER_SUPPLY_PROP_USB_HC-to-.patch",2,"Yes",""
"Google Patches","0153-power-power_supply-add-POWER_SUPPLY_PROP_USB_OTG.patch",2,"Yes",""
"Google Patches","0154-cpufreq-interactive-take-idle-notifications-only-whe.patch",1,"Yes",""
"Google Patches","0155-cpufreq-interactive-keep-freezer-happy-when-not-curr.patch",1,"Yes",""
"Google Patches","0156-cpufreq-interactive-handle-speed-up-and-down-in-the-.patch",2,"Yes",""
"Google Patches","0157-cpufreq-interactive-remove-input_boost-handling.patch",1,"Yes",""
"Google Patches","0158-power-power_supply-add-POWER_SUPPLY_PROP_CHARGE_ENAB.patch",2,"Yes",""
"Google Patches","0159-ARM-fiq_debugger-add-process-context-reboot-command.patch",1,"Yes",""
"Google Patches","0160-mmc-sdio-Fix-sdio_reset_comm-for-sync.patch",1,"Yes",""
"Google Patches","0161-power-android-battery-add-generic-android-battery-dr.patch",4,"Yes",""
"Google Patches","0162-power-android-add-d-android-power.patch",1,"Yes",""
"Google Patches","0163-power-android-battery-monitor-polling-with-wakeup-al.patch",1,"Yes",""
"Google Patches","0164-power-android-switch-to-nn.n-format-for-temperature-.patch",1,"Yes",""
"Google Patches","0165-power-android_battery-fix-negative-temperature-displ.patch",1,"Yes",""
"Google Patches","0166-power-android_battery-nn.n-temperature-format-for-d-.patch",1,"Yes",""
"Google Patches","0168-ARM-disable-preemption-in-machine_shutdown.patch",1,"Yes",""
"Google Patches","0169-power-android-battery-Provide-fake-values-when-fuel-.patch",1,"Yes",""
"Google Patches","0170-power-android-battery-Add-USB-and-AC-battery-power-s.patch",1,"Yes",""
"Google Patches","0171-power-android-battery-use-1-10th-deg-C-units-for-tem.patch",1,"Yes",""
"Google Patches","0172-netfilter-xt_qtaguid-report-only-uid-tags-to-non-pri.patch",1,"Yes",""
"Google Patches","0173-w1-ds2482-Manage-SLPZ-pin-sleep-state.patch",2,"Yes",""
"Google Patches","0174-USB-gadget-Add-ACCESSORY_SET_AUDIO_MODE-control-requ.patch",2,"Yes",""
"Google Patches","0175-USB-gadget-f_accessory-Add-support-for-HID-input-dev.patch",3,"Yes",""
"Google Patches","0176-USB-gadget-f_audio_source-New-gadget-driver-for-audi.patch",2,"Yes",""
"Google Patches","0177-net-PPPoPNS-and-PPPoLAC-update-to-use-PPP_MRU-instea.patch",2,"Yes",""
"Google Patches","0178-cpufreq-interactive-always-limit-initial-speed-bump-.patch",1,"Yes",""
"Google Patches","0179-staging-android-lowmemorykiller-Add-config-option-to.patch",2,"Yes",""
"Google Patches","0180-cpufreq-interactive-run-at-fraction-of-hispeed_freq-.patch",1,"Yes",""
"Google Patches","0181-power-android-battery-add-charge-timeouts-and-rechar.patch",2,"Yes",""
"Google Patches","0182-power-android-battery-Add-state-locking.patch",1,"Yes",""
"Google Patches","0183-power-android-battery-leave-full-not-charging-status.patch",1,"Yes",""
"Google Patches","0184-power-android-battery-Fix-battery-alarm-timer-not-mo.patch",1,"Yes",""
"Google Patches","0185-mm-vmscan-Add-a-debug-file-for-shrinkers.patch",1,"Yes",""
"Google Patches","0186-power-android-battery-use-freezable-workqueue-for-mo.patch",1,"Yes",""
"Google Patches","0187-netfilter-xt_qtaguid-fix-error-exit-that-would-keep-.patch",1,"Yes",""
"Google Patches","0188-power-android-battery-Battery-health-check-only-when.patch",1,"Yes",""
"Google Patches","0189-staging-iio-events-Don-t-copy-data-to-user-space-wit.patch",1,"Yes",""
"Google Patches","0190-power-android-battery-Allow-changing-current-in-char.patch",1,"Yes",""
"Google Patches","0191-sync-add-Documentation-sync.txt.patch",1,"Yes",""
"Google Patches","0192-ARM-fiq_debugger-lock-between-tty-and-console-writes.patch",1,"Yes",""
"Google Patches","0193-ARM-fiq_debugger-fix-uninitialised-spin_lock.patch",1,"Yes",""
"Google Patches","0194-cpufreq-interactive-pin-timers-to-associated-CPU.patch",1,"Yes",""
"Google Patches","0195-cpufreq-interactive-use-deferrable-timer-by-default.patch",1,"Yes",""
"Google Patches","0196-cpufreq-interactive-kick-timer-on-idle-exit-past-exp.patch",1,"Yes",""
"Google Patches","0197-netfilter-qtaguid-Don-t-BUG_ON-if-create_if_tag_stat.patch",1,"Yes",""
"Google Patches","0198-usb-gadget-accessory-Fix-section-mismatch-again.patch",1,"Yes",""
"Google Patches","0199-cpufreq-interactive-trace-actual-speed-in-target-spe.patch",2,"Yes",""
"Google Patches","0200-cpufreq-interactive-change-speed-according-to-curren.patch",1,"Yes",""
"Google Patches","0201-cpufreq-interactive-apply-above_hispeed_delay-to-eac.patch",1,"Yes",""
"Google Patches","0202-cpufreq-interactive-allow-arbitrary-speed-target-loa.patch",2,"Yes",""
"Google Patches","0203-cpufreq-interactive-remove-load-since-last-speed-cha.patch",1,"Yes",""
"Google Patches","0204-cpufreq-interactive-adjust-load-for-changes-in-speed.patch",1,"Yes",""
"Google Patches","0205-cpufreq-interactive-specify-duration-of-CPU-speed-bo.patch",1,"Yes",""
"Google Patches","0206-hardlockup-detect-hard-lockups-without-NMIs-using-se.patch",3,"Yes",""
"Google Patches","0207-cpufreq-interactive-add-timer-slack-to-limit-idle-at.patch",1,"Yes",""
"Google Patches","0208-cpufreq-interactive-fix-boosting-logic.patch",1,"Yes",""
"Google Patches","0209-cpufreq-interactive-fix-racy-timer-stopping.patch",1,"Yes",""
"Google Patches","0210-cpufreq-interactive-fix-race-on-timer-restart-on-gov.patch",1,"Yes",""
"Google Patches","0211-cpufreq-interactive-default-go_hispeed_load-99-doc-u.patch",2,"Yes",""
"Google Patches","0212-cpufreq-interactive-init-default-values-at-compile-t.patch",1,"Yes",""
"Google Patches","0213-cpufreq-interactive-don-t-handle-transition-notifica.patch",1,"Yes",""
"Google Patches","0214-cpufreq-interactive-fix-deadlock-on-spinlock-in-time.patch",1,"Yes",""
"Google Patches","0215-netfilter-xt_qtaguid-remove-AID_-dependency-for-acce.patch",1,"Yes",""
"Google Patches","0216-cpufreq-interactive-fix-race-on-governor-start-stop.patch",1,"Yes",""
"Google Patches","0217-netfilter-xt_qtaguid-extend-iface-stat-to-report-pro.patch",3,"Yes",""
"Google Patches","0218-netfilter-xt_qtaguid-Allow-tracking-loopback.patch",1,"Yes",""
"Google Patches","0219-power-android-battery-remove-ac-and-usb-supplies.patch",1,"Yes",""
"Google Patches","0220-power-android-battery-push-uevent-whenever-charge-so.patch",1,"Yes",""
"Google Patches","0221-trace-events-add-gpu-trace-events.patch",4,"Yes",""
"Google Patches","0222-input-misc-keychord-log-when-keychord-triggered.patch",1,"Yes",""
"Google Patches","0223-Add-security-hooks-to-binder-and-implement-the-hooks.patch",6,"Yes",""
"Google Patches","0224-trace-Add-an-option-to-show-tgids-in-trace-output.patch",3,"Yes",""
"Google Patches","0225-trace-add-non-hierarchical-function_graph-option.patch",3,"Yes",""
"Google Patches","0226-cpufreq-interactive-allow-arbitrary-speed-delay-mapp.patch",2,"Yes",""
"Google Patches","0227-cpufreq-interactive-add-io_is_busy-interface.patch",1,"Yes",""
"Google Patches","0228-cpufreq-interactive-fix-crash-on-error-paths-in-get_.patch",1,"Yes",""
"Google Patches","0229-ARM-add-config-option-to-build-zImage-dtb-combo.patch",2,"Yes",""
"Google Patches","0230-cpufreq-interactive-base-above_hispeed_delay-on-targ.patch",1,"Yes",""
"Google Patches","0231-netfilter-qtaguid-rate-limit-some-of-the-printks.patch",1,"Yes",""
"Google Patches","0232-ARM-convert-build-of-appended-dtb-zImage-to-list-of-.patch",6,"Yes",""
"Google Patches","0233-trace-events-fix-gpu-event-timestamp-formatting.patch",1,"Yes",""
"Google Patches","0234-android-configs-Initial-commit-of-Android-config-fra.patch",3,"Yes",""
"Google Patches","0235-cpufreq-interactive-fix-uninitialized-spinlock.patch",1,"Yes",""
"Google Patches","0236-ARM-fault-assume-no-context-when-IRQs-are-disabled-d.patch",1,"Yes",""
"Google Patches","0237-lowmemorykiller-make-default-lowmemorykiller-debug-m.patch",1,"Yes",""
"Google Patches","0238-mmc-Add-tracepoints-of-mmc-block-operations.patch",3,"Yes",""
"Google Patches","0239-misc-uidstat-avoid-create_stat-race-and-blockage.patch",1,"Yes",""
"Google Patches","0240-android-configs-Add-Logitech-unifying-receivers-to-r.patch",1,"Yes",""
"Google Patches","0241-android-configs-Enable-KSM-support-by-default.patch",1,"Yes",""
"Google Patches","0242-android-configs-Reorder-config-fragments.patch",2,"Yes",""
"Google Patches","0243-android-configs-no-MODULES-for-base-no-SIP-for-recom.patch",2,"Yes",""
"Google Patches","0244-cpufreq-interactive-handle-errors-from-cpufreq_frequ.patch",1,"Yes",""
"Google Patches","0245-cpufreq-interactive-reduce-chance-of-zero-time-delta.patch",1,"Yes",""
"Google Patches","0246-cpufreq-interactive-avoid-underflow-on-active-time-c.patch",1,"Yes",""
"Google Patches","0247-epoll-use-freezable-blocking-call.patch",1,"Yes",""
"Google Patches","0248-cpufreq-interactive-fix-race-on-cpufreq-TRANSITION-n.patch",1,"Yes",""
"Google Patches","0249-cpufreq-interactive-resched-timer-if-max-freq-raised.patch",1,"Yes",""
"Google Patches","0250-usb-otg-otg-wakelock-Fix-build-for-3.7.patch",1,"Yes",""
"Google Patches","0251-ARM-fiq_debugger-Fix-to-compile-on-3.7.patch",1,"Yes",""
"Google Patches","0252-ARM-fiq_debugger-Use-kmsg_dumper-to-dump-kernel-logs.patch",1,"Yes",""
"Google Patches","0253-ARM-fiq_debugger-Update-tty-code-for-3.9.patch",1,"Yes",""
"Google Patches","0254-mmc-block-Remove-call-to-mmc_blk_set_blksize.patch",1,"Yes",""
"Google Patches","0255-ARM-decompressor-Flush-tlb-before-swiching-domain-0-.patch",1,"Yes",""
"Google Patches","0256-usb-gadget-android-Fixes-and-hacks-to-make-android-u.patch",5,"Yes",""
"Google Patches","0257-HACK-usb-gadget-Fix-enumeration-on-boot.patch",1,"Yes",""
"Google Patches","0258-usb-gadget-Fix-android-gadget-driver-build.patch",4,"Yes",""
"Google Patches","0259-usb-gadget-android-Fixes-and-hacks-to-make-android-u.patch",1,"Yes",""
"Google Patches","0260-usb-gadget-android-move-init-to-late_initcall-for-no.patch",1,"Yes",""
"Google Patches","0261-usb-gadget-android-3.10-fixes.patch",3,"Yes",""
"Google Patches","0262-netfilter-xt_qtaguid-fix-bad-tcp_time_wait-sock-hand.patch",1,"Yes",""
"Google Patches","0263-selinux-binder-Fix-COMMON_AUDIT_DATA_INIT-compile-is.patch",1,"Yes",""
"Google Patches","0264-mmc-core-Remove-stray-CONFIG_EXPERIMENTAL-dependenci.patch",1,"Yes",""
"Google Patches","0265-pstore-Update-Documentation-android.txt.patch",1,"Yes",""
"Google Patches","0266-net-activity_stats-Stop-using-obsolete-create_proc_r.patch",1,"Yes",""
"Google Patches","0267-netfilter-xt_quota2-3.10-fixes.patch",1,"Yes",""
"Google Patches","0268-misc-uidstat-Remove-use-of-obsolete-create_proc_read.patch",1,"Yes",""
"Google Patches","0269-netfilter-xt_qtaguid-3.10-fixes.patch",1,"Yes",""
"Google Patches","0270-ARM-kgdb-ignore-breakpoint-instructions-from-user-mo.patch",1,"Yes",""
"Google Patches","0271-add-extra-free-kbytes-tunable.patch",3,"Yes",""
"Google Patches","0272-power_supply-kill-android-battery-driver.patch",5,"Yes",""
"Google Patches","0273-mm-add-a-field-to-store-names-for-private-anonymous-.patch",11,"Yes",""
"Google Patches","0274-cpufreq-interactive-fix-show_target_loads-and-show_a.patch",1,"Yes",""
"Google Patches","0275-USB-remove-duplicate-out-endpoint-creation-in-MTP-mo.patch",1,"Yes",""
"Google Patches","0276-staging-sw_sync-add-stubs-for-kernels-without-CONFIG.patch",1,"Yes",""
"Google Patches","0277-video-add-atomic-display-framework.patch",19,"Yes",""
"Google Patches","0278-video-adf-add-memblock-helper.patch",4,"Yes",""
"Google Patches","0279-video-adf-support-simple-buffers.patch",5,"Yes",""
"Google Patches","0280-video-adf-add-supported-formats-to-adf_overlay_engin.patch",6,"Yes",""
"Google Patches","0281-video-adf-add-fbdev-compatibility-helper.patch",4,"Yes",""
"Google Patches","0282-video-adf-add-informational-flags-to-interfaces.patch",6,"Yes",""
"Google Patches","0283-cpufreq-interactive-Remove-unnecessary-cpu_online-ch.patch",1,"Yes",""
"Google Patches","0284-cpufreq-interactive-Move-definition-of-cpufreq_gov_i.patch",1,"Yes",""
"Google Patches","0285-cpufreq-Interactive-Implement-per-policy-instances-o.patch",1,"Yes",""
"Google Patches","0286-cpufreq-interactive-delete-timers-for-GOV_START.patch",1,"Yes",""
"Google Patches","0287-video-adf-add-helpers-for-validating-custom-formats.patch",3,"Yes",""
"Google Patches","0288-video-adf-make-dpms_state-sysfs-attribute-writable.patch",1,"Yes",""
"Google Patches","0289-video-adf-set-default-interface-dpms_state-to-OFF.patch",1,"Yes",""
"Google Patches","0290-video-adf-expose-adf_modeinfo_set_-name-vrefresh-to-.patch",3,"Yes",""
"Google Patches","0291-usb-gadget-android-Remove-device-if-probe-fails.patch",1,"Yes",""
"Google Patches","0292-drivers-switch-remove-S_IWUSR-from-dev_attr.patch",1,"Yes",""
"Google Patches","0293-input-misc-keychord-move-header-to-uapi.patch",2,"Yes",""
"Google Patches","0294-usb-gadget-f_mtp-move-userspace-interface-to-uapi.patch",3,"Yes",""
"Google Patches","0295-usb-gadget-f_accessory-move-userspace-interface-to-u.patch",2,"Yes",""
"Google Patches","0296-net-move-PPPoLAC-and-PPPoPNS-headers-to-uapi.patch",4,"Yes",""
"Google Patches","0297-drivers-staging-android-split-uapi-out-of-android_al.patch",2,"Yes",""
"Google Patches","0298-drivers-staging-android-split-uapi-out-of-ashmem.h.patch",2,"Yes",""
